id,title,category,year,fileType,fileSize,fileUrl,externalUrl,summary,status
agreement-establishment,Agreement on the Establishment of the Western Balkans Fund,founding,2015,PDF,2.9 MB,agreement-on-establishment-of-wbf.pdf,,"The founding international agreement establishing the WBF, signed by the Contracting Parties.",published
bled-decisions-2017,Bled — Decisions of the Ministers of Foreign Affairs,founding,2017,PDF,66 KB,bled-decisions-of-mfa-2017.pdf,,"Decisions of the Ministers of Foreign Affairs on the Western Balkans Fund, Bled, September 2017.",published
sarajevo-statement-2018,Sarajevo Joint Statement,founding,2018,PDF,57 KB,sarajevo-joint-statement-2018.pdf,,"Joint statement in support of the Western Balkans Fund, Sarajevo, March 2018.",published
warsaw-statement-2019,Warsaw Joint Statement,founding,2019,PDF,37 KB,warsaw-joint-statement-2019.pdf,,"Joint statement on the Western Balkans Fund, Warsaw, April 2019.",published
strategic-plan-2026,Strategic Plan 2026–2030,strategy,2026,PDF,3.2 MB,strategic-plan-2026-2030.pdf,,The Fund's strategic plan for the 2026–2030 period.,published
strategic-plan-2020,Strategic Development Plan 2020–2024,strategy,2020,PDF,1.0 MB,strategic-development-plan-2020-2024.pdf,,The Fund's multi-year strategic development framework for 2020–2024.,published
annual-2024-2025,Annual Report 2024–2025,annual-report,2025,PDF,14.6 MB,annual-report-2024-2025.pdf,,"WBF activities, programmes and impact for 2024–2025.",published
annual-2023-2024,Annual Report 2023–2024,annual-report,2024,PDF,4.6 MB,annual-report-2023-2024.pdf,,WBF activities and results covering June 2023–June 2024.,published
annual-2022,Annual Report 2022,annual-report,2022,PDF,24.4 MB,annual-report-2022.pdf,,"WBF activities, programmes and grantee outcomes during 2022.",published
annual-2021,Annual Report 2021,annual-report,2021,PDF,11.1 MB,annual-report-2021.pdf,,"WBF activities, programmes and grantee outcomes during 2021.",published
annual-2020,Annual Report 2020,annual-report,2020,PDF,16.7 MB,annual-report-2020.pdf,,"WBF activities, programmes and grantee outcomes during 2020.",published
annual-2019,Annual Report 2019,annual-report,2019,PDF,14 MB,annual-report-2019.pdf,,"WBF activities, programmes and grantee outcomes during 2019.",published
annual-2018,Annual Report 2018,annual-report,2018,PDF,,,,"WBF activities, programmes and grantee outcomes during 2018.",published
joint-action-2024-2025,EU–WBF Joint Action Report 2024–2025,joint-action,2025,PDF,16.7 MB,eu-wbf-joint-action-report-2024-2025.pdf,,Third EU–WBF Joint Action report on the Empowering Regional Cooperation Grant Scheme (7th annual Call).,published
joint-action-second-call,EU–WBF Joint Action Report — Second Call,joint-action,2023,PDF,9.8 MB,eu-wbf-joint-action-report-second-call-2023.pdf,,"EU–WBF Joint Action report on the Second Call for Regional Projects, December 2023.",published
joint-action-first-call,EU–WBF Joint Action Report — First Call,joint-action,2023,PDF,3.4 MB,eu-wbf-joint-action-report-first-call-2023.pdf,,"EU–WBF Joint Action report on the First Call for Regional Projects, July 2023.",published
cfp-faq-7,Call for Proposals — FAQ (7th Annual Call),guidelines,,PDF,154 KB,call-for-proposals-faq-7th-call.pdf,,Frequently asked questions for applicants to the 7th annual Call for Proposals.,published
cfp-faq-6,Call for Proposals — FAQ (6th Call),guidelines,,PDF,251 KB,call-for-proposals-faq-6th-call.pdf,,Frequently asked questions for applicants to the 6th Call for Proposals.,published
cfp-faq-5,Call for Proposals — FAQ (5th Call),guidelines,,PDF,147 KB,call-for-proposals-faq-5th-call.pdf,,Frequently asked questions for applicants to the 5th Call for Proposals.,published
cfp-faq-4,Call for Proposals — FAQ (4th Call),guidelines,,PDF,286 KB,call-for-proposals-faq-4th-call.pdf,,Frequently asked questions for applicants to the 4th Call for Proposals.,published
cfp-faq-3,Call for Proposals — FAQ (3rd Call),guidelines,,PDF,609 KB,call-for-proposals-faq-3rd-call.pdf,,Frequently asked questions for applicants to the 3rd Call for Proposals.,published
cfp-faq-1-2,Call for Proposals — FAQ & Info Sessions (1st–2nd Call),guidelines,2018,PDF,467 KB,call-for-proposals-faq-1st-2nd-call-2018.pdf,,"FAQ and info-session answers for the 1st and 2nd Calls for Proposals, 2018.",published
regional-report,Regional Report,other,,PDF,,,,Regional report published by the Western Balkans Fund.,draft
